model_name,record_idx,family,layer_idx,final_label,entity_transfer,overwrite,failure,switch_strength
meta-llama/Llama-3.2-3B,4,capital,2,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,4,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,6,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,8,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,10,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,12,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,14,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,4,capital,16,overwrite,0,1,0,1
meta-llama/Llama-3.2-3B,4,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,4,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,4,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,4,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,4,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,5,capital,0,failure,0,0,1,-7
meta-llama/Llama-3.2-3B,5,capital,2,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,5,capital,4,failure,0,0,1,-7
meta-llama/Llama-3.2-3B,5,capital,6,failure,0,0,1,-7
meta-llama/Llama-3.2-3B,5,capital,8,failure,0,0,1,-7
meta-llama/Llama-3.2-3B,5,capital,10,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,5,capital,12,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,5,capital,14,failure,0,0,1,-7
meta-llama/Llama-3.2-3B,5,capital,16,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,5,capital,18,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,5,capital,20,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,5,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,5,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,5,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,6,capital,0,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,2,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,4,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,6,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,8,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,10,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,12,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,14,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,16,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,18,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,20,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,6,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,6,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,6,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,7,capital,0,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,2,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,4,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,6,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,8,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,10,overwrite,0,1,0,1
meta-llama/Llama-3.2-3B,7,capital,12,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,14,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,7,capital,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,7,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,7,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,7,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,7,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,7,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,8,capital,0,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,8,capital,2,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,8,capital,4,overwrite,0,1,0,4
meta-llama/Llama-3.2-3B,8,capital,6,overwrite,0,1,0,4
meta-llama/Llama-3.2-3B,8,capital,8,overwrite,0,1,0,4
meta-llama/Llama-3.2-3B,8,capital,10,overwrite,0,1,0,4
meta-llama/Llama-3.2-3B,8,capital,12,overwrite,0,1,0,4
meta-llama/Llama-3.2-3B,8,capital,14,overwrite,0,1,0,4
meta-llama/Llama-3.2-3B,8,capital,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,8,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,8,capital,20,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,8,capital,22,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,8,capital,24,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,8,capital,26,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,9,capital,0,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,2,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,4,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,6,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,8,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,10,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,12,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,14,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,9,capital,16,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,9,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,9,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,9,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,9,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,9,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,10,capital,0,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,2,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,4,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,6,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,8,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,10,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,12,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,10,capital,14,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,10,capital,16,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,10,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,10,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,10,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,10,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,10,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,11,capital,0,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,11,capital,2,overwrite,0,1,0,2
meta-llama/Llama-3.2-3B,11,capital,4,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,11,capital,6,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,11,capital,8,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,11,capital,10,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,11,capital,12,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,11,capital,14,overwrite,0,1,0,2
meta-llama/Llama-3.2-3B,11,capital,16,overwrite,0,1,0,2
meta-llama/Llama-3.2-3B,11,capital,18,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,11,capital,20,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,11,capital,22,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,11,capital,24,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,11,capital,26,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,12,capital,0,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,2,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,4,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,6,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,8,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,10,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,12,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,14,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,12,capital,16,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,12,capital,18,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,12,capital,20,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,12,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,12,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,12,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,13,capital,0,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,13,capital,2,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,13,capital,4,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,13,capital,6,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,13,capital,8,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,13,capital,10,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,13,capital,12,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,13,capital,14,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,13,capital,16,overwrite,0,1,0,-1
meta-llama/Llama-3.2-3B,13,capital,18,overwrite,0,1,0,2
meta-llama/Llama-3.2-3B,13,capital,20,overwrite,0,1,0,-1
meta-llama/Llama-3.2-3B,13,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,13,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,13,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,14,capital,0,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,2,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,4,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,6,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,8,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,10,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,12,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,14,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,14,capital,16,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,14,capital,18,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,14,capital,20,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,14,capital,22,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,14,capital,24,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,14,capital,26,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,15,capital,0,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,2,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,4,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,6,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,8,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,10,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,12,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,14,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,16,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,15,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,15,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,15,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,15,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,15,capital,26,overwrite,0,1,0,3
meta-llama/Llama-3.2-3B,16,capital,0,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,2,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,4,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,6,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,8,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,10,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,12,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,14,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,16,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,18,failure,0,0,1,-4
meta-llama/Llama-3.2-3B,16,capital,20,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,22,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,24,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,16,capital,26,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,17,language,0,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,2,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,4,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,6,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,8,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,10,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,12,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,14,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,17,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,17,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,17,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,17,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,17,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,17,language,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,18,language,0,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,2,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,4,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,6,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,8,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,10,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,12,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,14,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,18,language,16,entity_transfer,1,0,0,5
meta-llama/Llama-3.2-3B,18,language,18,entity_transfer,1,0,0,5
meta-llama/Llama-3.2-3B,18,language,20,entity_transfer,1,0,0,5
meta-llama/Llama-3.2-3B,18,language,22,entity_transfer,1,0,0,5
meta-llama/Llama-3.2-3B,18,language,24,entity_transfer,1,0,0,5
meta-llama/Llama-3.2-3B,18,language,26,entity_transfer,1,0,0,5
meta-llama/Llama-3.2-3B,19,language,0,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,19,language,2,failure,0,0,1,-10
meta-llama/Llama-3.2-3B,19,language,4,failure,0,0,1,-4
meta-llama/Llama-3.2-3B,19,language,6,failure,0,0,1,-4
meta-llama/Llama-3.2-3B,19,language,8,failure,0,0,1,-4
meta-llama/Llama-3.2-3B,19,language,10,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,19,language,12,failure,0,0,1,-4
meta-llama/Llama-3.2-3B,19,language,14,failure,0,0,1,-3
meta-llama/Llama-3.2-3B,19,language,16,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,19,language,18,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,19,language,20,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,19,language,22,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,19,language,24,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,19,language,26,entity_transfer,1,0,0,-1
meta-llama/Llama-3.2-3B,20,language,0,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,2,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,4,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,6,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,8,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,10,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,12,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,14,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,20,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,20,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,20,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,20,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,20,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,20,language,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,21,language,0,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,2,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,4,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,6,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,8,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,10,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,12,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,14,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,21,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,21,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,21,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,21,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,21,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,21,language,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,22,language,0,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,2,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,4,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,6,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,8,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,10,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,12,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,14,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,22,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,22,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,22,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,22,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,22,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,22,language,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,23,language,0,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,2,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,4,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,6,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,8,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,10,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,12,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,14,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,23,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,23,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,23,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,23,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,23,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,23,language,26,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,24,language,0,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,2,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,4,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,6,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,8,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,10,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,12,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,14,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,24,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,24,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,24,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,24,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,24,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,24,language,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,25,language,0,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,2,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,4,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,6,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,8,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,10,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,12,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,14,failure,0,0,1,-6
meta-llama/Llama-3.2-3B,25,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,25,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,25,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,25,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,25,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,25,language,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,26,language,0,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,2,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,4,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,6,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,8,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,10,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,12,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,14,failure,0,0,1,-12
meta-llama/Llama-3.2-3B,26,language,16,entity_transfer,1,0,0,3
meta-llama/Llama-3.2-3B,26,language,18,entity_transfer,1,0,0,3
meta-llama/Llama-3.2-3B,26,language,20,entity_transfer,1,0,0,3
meta-llama/Llama-3.2-3B,26,language,22,entity_transfer,1,0,0,3
meta-llama/Llama-3.2-3B,26,language,24,entity_transfer,1,0,0,3
meta-llama/Llama-3.2-3B,26,language,26,entity_transfer,1,0,0,3
meta-llama/Llama-3.2-3B,27,language,0,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,2,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,4,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,6,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,8,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,10,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,12,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,14,failure,0,0,1,-11
meta-llama/Llama-3.2-3B,27,language,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,27,language,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,27,language,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,27,language,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,27,language,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,27,language,26,entity_transfer,1,0,0,1
